"order_id","order_date","ship_date","region","city","category","subcategory","customer_segment","order_status","payment_method","units_sold","sales_amount","discount_pct","profit","sales_rep","promo_code"
"ORD00001","2024-06-11","2024-06-13","West","Andijan","Electronics","Laptops","Consumer","Shipped","Transfer","4","1,074.59","0.04","148.05","Malika Rakhimova","LOYAL20"
"ORD00002","2023-07-25","2023-07-30","North","Tashkent","Groceries","Laptops","Home Office","Delivered","Transfer","1","370.96","0.14","62.11","Anvar Karimov",
"ORD00003","2024-07-01","2024-07-06","Central","Tashkent","Office Supplies","Laptops","Home Office","Shipped","Card","5","136.11","0.08","28.35","Anvar Karimov","SPRING10"
"ORD00004","2024-09-09","2024-09-15","West","Samarkand","Electronics","Jackets","Home Office","Delivered","Cash","3","335.29","0.19","48.19","Bekzod Umarov",
"ORD00005","2023-06-22","2023-06-23","North","Andijan","Electronics","Laptops","Corporate","Processing","Cash","10","1,441.29","0.02","343.02","Anvar Karimov","FLASH15"
"ORD00006","2023-01-11","2023-01-12","Central","Andijan","Furniture","Jackets","Consumer","Shipped","Card","2","689.34","0.01","193.69","Dilshod Aliyev","FLASH15"
"ORD00007","2024-02-25","2024-02-29","North","Nukus","Clothing","Paper","Home Office","Delivered","Card","8","3,262.44","0.15","788.61","Dilshod Aliyev","WEEKEND5"
"ORD00008","2024-09-05","2024-09-07","Central","Fergana","Groceries","Tables","Corporate","Processing","Online Wallet","4","408.48","0.15","78.77","Aziza Sobirova","SPRING10"
"ORD00009","2023-09-30","2023-10-08","South","Namangan","Office Supplies","Phones","Small Business","Delivered","Card","1","113.71","0.07","10.06","Malika Rakhimova","WEEKEND5"
"ORD00010","2024-08-16","2024-08-23","South","Nukus","Clothing","Paper","Home Office","Processing","Transfer","1","23.61","0.21","6.54","Malika Rakhimova","WEEKEND5"
"ORD00011","2023-05-25","2023-05-26","North","Nukus","Electronics","Paper","Home Office","Processing","Transfer","6","2,220.30","0.25","559.43","Anvar Karimov",
"ORD00012","2023-11-06","2023-11-14","East","Nukus","Clothing","Chairs","Consumer","Delivered","Card","12","1,724.32","0.24","313.83","Nilufar Ismailova","FLASH15"
"ORD00013","2023-11-16","2023-11-21","Central","Samarkand","Furniture","Jackets","Home Office","Returned","Online Wallet","11","618.06","0.23","180.51","Bekzod Umarov","WEEKEND5"
"ORD00014","2023-09-26","2023-10-01","North","Samarkand","Furniture","Laptops","Home Office","Delivered","Cash","21","2,235.87","0.22","505.69","Bekzod Umarov",
"ORD00015","2024-09-07","2024-09-15","North","Namangan","Furniture","Tables","Home Office","Processing","Card","24","4,691.98","0.22","1375.79","Bekzod Umarov","LOYAL20"
"ORD00016","2024-02-16","2024-02-22","North","Nukus","Electronics","Phones","Consumer","Shipped","Card","6","1,360.85","0.2","283.03","Malika Rakhimova","WEEKEND5"
"ORD00017","2024-11-27","2024-12-01","Central","Bukhara","Clothing","Paper","Consumer","Returned","Transfer","10","$1,976.16","0.19","446.15","Aziza Sobirova","LOYAL20"
"ORD00018","2025-01-25","2025-01-26","Central","Nukus","Electronics","Paper","Home Office","Delivered","Online Wallet","12","5,143.98","0.08","1451.92","Dilshod Aliyev","FLASH15"
"ORD00019","2024-06-01","2024-06-09","South","Namangan","Electronics","Tables","Home Office","Shipped","Cash","8","3,221.21","0.19","279.57","Malika Rakhimova",
"ORD00020","2024-05-23","2024-05-28","Central","Bukhara","Clothing","Paper","Consumer","Processing","Cash","9","3,121.40","0.02","343.04","Anvar Karimov","WEEKEND5"
