"employee_id","department","job_level","employment_type","city","hire_date","last_review_date","salary","bonus_pct","performance_score","overtime_hours","training_hours","satisfaction_score","manager","attrition","employment_status"
"EMP00001","Finance","L2","Part-time","Fergana","21/03/2022","2023-02-07","43,313.23","0.1","2.52","35","19","2.03","Farida Karim","No","active"
"EMP00002","Marketing","L4","Part-time","Tashkent","03/06/2018","2020-05-10","32,308.90","0.02","4.12","37","43","1.18","Nodira Usmanova","Yes","Resigned"
"EMP00003","Sales","L2","Contract","Fergana","12/06/2022","2024-05-18","50,738.17","0","3.61","37","60","2.54","Aziz Khan","Yes","Active"
"EMP00004","HR","Manager","Part-time","Nukus","11/04/2023","2025-07-07","42,051.52","0.03","2.13","27","41","1.2","Timur Akramov","NO","On Leave"
"EMP00005","HR","L1","Contract","Tashkent","12/01/2018","2018-07-24","72,549.71","0.09","2.04","36","35","3.05","Timur Akramov","Yes","Resigned"
"EMP00006","IT","L1","Intern","Andijan","13/02/2016","2016-08-14","35,780.32","0.09","3.13","28","3","2.49","Aziz Khan","no","Resigned"
"EMP00007","Customer Success","L4","Contract","Tashkent","15/12/2020","2022-07-26","64,279.45","0.18","4.87","15","57","1.65","Aziz Khan","no","active"
"EMP00008","sales ","L4","Contract","Andijan","23/03/2023","2024-02-17","44,432.62","0.15","4.02","32","23","3.21","Rustam Mamatov","NO","Active"
"EMP00009","sales ","L2","Full-time","Samarkand","20/03/2019","2022-04-20","31,311.43","0.12","3.27","4","80","1.49","Aziz Khan","No","active"
"EMP00010","Sales","Senior Analyst","Intern","Samarkand","28/12/2022","2025-10-15","29,103.16","0.19","4.54","12","44","3.54","Farida Karim","Yes","active"
"EMP00011","Customer Success","Senior Analyst","Intern","Tashkent","14/09/2017","2018-04-12","56,163.50","0.18","2.56","13","45","3.22","Nodira Usmanova","Yes","On Leave"
"EMP00012","Human Resources","Senior Analyst","Part-time","Nukus","23/08/2019","2022-08-05","82,279.53","0.19","4.43","5","8","1.01","Sara Lee","yes","On Leave"
"EMP00013","sales ","Senior Analyst","Intern","Andijan","05/10/2019","2021-11-25","76,803.60","0.03","3","24","49","4.77","Nodira Usmanova","NO","active"
"EMP00014","HR","Senior Analyst","Contract","Samarkand","28/02/2019","2021-02-13","$126,123.63","0.06","2.69","38","51","1.33","Timur Akramov","yes","Resigned"
"EMP00015","Finance","Senior Analyst","Intern","Tashkent","01/04/2023","2026-05-27","143,057.62","0.12","2.63","29","40","3.83","Aziz Khan","yes","active"
"EMP00016","Finance","Manager","Contract","Samarkand","07/11/2020","2023-05-11","52,452.31","0.19","2.16","2","17","2.25","Sara Lee","No","active"
"EMP00017","Finance","Manager","Contract","Andijan","18/03/2024","2026-01-06","72,834.20","0.07","4.57","14","14","4.75","Farida Karim","NO","active"
"EMP00018","Marketing","L2","Intern","Andijan","24/11/2024","2025-08-11","85,476.97","0.18","2.05","13","46","1.07",,"no","On Leave"
"EMP00019","Customer Success","Manager","Full-time","Bukhara","06/02/2022","2025-05-05","64,136.07","0.13","2.13","31","42","2.46","Timur Akramov","No","On Leave"
"EMP00020","IT","L1","Full-time","Andijan","28/12/2021","2024-03-04","67,273.09","0.06","4.94","16","0","3.32","Timur Akramov","Yes","Active"
"EMP00021","sales ","L4","Full-time","Nukus","29/12/2021","2022-10-15"," 143,265.76 ","0.13","4.58","16","49","2.69","Timur Akramov","Yes","Resigned"
"EMP00022","Human Resources","L4","Intern","Fergana","27/02/2021","2023-02-25","110,005.07","0.05","2.93","24","65","3.78","Sara Lee","no","Resigned"
"EMP00023","Marketing","L1","Part-time","Bukhara","15/03/2020","2023-06-17","89,220.42","0.03","3.69","18","0","4.81","Timur Akramov","No","active"
"EMP00024","sales ","Manager","Part-time","Andijan","26/08/2022","2024-04-19","39,654.70","0.19","3.5","9","76","4.53","Farida Karim","NO","Resigned"
"EMP00025","Sales","Senior Analyst","Contract","Andijan","13/09/2020","2022-02-06","35,711.45","0.11","2.46","17","10","2.5","Aziz Khan","Yes","On Leave"
"EMP00026","Marketing","Manager","Part-time","Nukus","14/03/2016","2017-05-08","139,828.71","0.03","4.38","13","44","1.2","Aziz Khan","NO","Active"
"EMP00027","Operations","Senior Analyst","Contract","Andijan","08/12/2020","2023-08-17",,"0.07","3.21","39","64","4.38","Rustam Mamatov","yes","On Leave"
"EMP00028","Marketing","L2","Contract","Andijan","30/10/2016","2019-07-20","$142,015.91","0.16","4.44","20","73","1.78","Sara Lee","yes","active"
"EMP00029","Sales","Senior Analyst","Part-time","Andijan","10/05/2021","2024-05-30","140,007.17","0.08","2.31","44","10","4.53","Farida Karim","yes","Active"
"EMP00030","sales ","L2","Contract","Tashkent","26/02/2021","2023-06-25","66,753.04","0.03","3.39","17","45","4.92","Nodira Usmanova","No","Resigned"
"EMP00031"," hr ","L2","Intern","Andijan","25/06/2020","2022-09-14","92,858.28","0.18","4.89","14","19","2.63","Nodira Usmanova","yes","Active"
"EMP00032","Marketing","Senior Analyst","Part-time","Andijan","18/09/2023","2025-06-22","130,225.21","0.03","3.86","28","37","4.06","Timur Akramov","NO","active"
"EMP00033","Sales","L3","Contract","Bukhara","02/06/2019","2020-04-20","$ 41,848.99","0.09","4.06","7","50","4.1","Timur Akramov","yes","Resigned"
"EMP00034","Human Resources","L4","Full-time","Tashkent","24/02/2019","2020-06-08","62,273.36","0.19","3.16","34","48","2.91","Rustam Mamatov","no","Resigned"
"EMP00035","Operations","Senior Analyst","Full-time","Samarkand","13/01/2017","2018-11-06","52,901.16","0.14","3.13","24","38","4.94","Aziz Khan","NO","active"
"EMP00036","IT","L2","Full-time","Bukhara","03/06/2020","2022-05-19","67,867.49","0.01","2.37","7","18","1.86",,"No","Resigned"
"EMP00037","Marketing","L1","Full-time","Nukus","29/04/2016","2018-01-19","32,680.82","0.13","4.6","39","3","3.25","Rustam Mamatov","yes","Active"
"EMP00038","sales ","L2","Full-time","Tashkent","27/02/2017","2020-05-31","64,220.86","0.05","2.46","29","50","2.71","Aziz Khan","no","On Leave"
"EMP00039","Finance","L4","Full-time","Andijan","27/03/2024","2026-04-24","71,474.41","0.06",,"4","73","4.41","Timur Akramov","yes","Active"
"EMP00040","Sales","L1","Full-time","Andijan","09/09/2021","2023-10-22","49,551.15","0.12","2.29","37","71","1.77","Rustam Mamatov","No","active"
"EMP00041","sales ","Senior Analyst","Part-time","Samarkand","02/10/2022","2024-08-12","47,816.82","0.08","3.08","1","14","3.79","Nodira Usmanova","Yes","active"
"EMP00042","Customer Success","L1","Full-time","Samarkand","04/02/2018","2020-07-07","$82,741.61","0.01","3.38","22","78","4.85","Sara Lee","NO","On Leave"
"EMP00043","sales ","L3","Part-time","Fergana","07/11/2023","2024-07-08","37,657.13","0.06","4.47","34","32","1.66","Nodira Usmanova","Yes","Resigned"
"EMP00044","Operations","L4","Full-time","Fergana","30/12/2020","2022-01-25","99,799.92","0.19","2.52","17","38","2.83","Nodira Usmanova","NO","Active"
"EMP00045","Operations","L2","Full-time","Nukus","09/10/2020","2023-11-28","118,363.83","0.11","3.9","43","43","2.49","Farida Karim","Yes","On Leave"
"EMP00046","IT","Senior Analyst","Intern","Bukhara","10/03/2024","2025-11-25","31,228.58","0.11","2.26","19","8","1.41","Rustam Mamatov","yes","Resigned"
"EMP00047","Marketing","L2","Part-time","Bukhara","22/11/2024","2028-02-24","108,892.84","0.02","4.43","34","74","3.68","Rustam Mamatov",,"Active"
"EMP00048","Finance","L3","Full-time","Bukhara","22/08/2023","2024-06-18","124,612.80","0.02","4.11","11","11","2.67","Farida Karim","No","Active"
"EMP00049","Operations","Senior Analyst","Contract","Fergana","06/02/2016","2018-08-02","117,840.00","0.16","4.78","8","36","2.44","Sara Lee","yes","Active"
"EMP00050","Sales","L4","Intern","Samarkand","08/11/2016","2018-07-08","119,707.58","0.07","2.94","40","42","4.52","Rustam Mamatov","no","Active"
"EMP00051","Operations","Manager","Full-time","Andijan","20/05/2016","2019-01-12","121,525.28","0.05","4.35","23","8","2.24","Rustam Mamatov","No","Active"
"EMP00052","Operations","L1","Contract","Nukus","21/04/2022","2023-05-24","61,627.48","0.12","4.11","5","56","2.41","Timur Akramov","yes","active"
"EMP00053","Marketing","L1","Contract","Nukus","12/03/2022","2024-10-11","57,349.99","0.1","2.27","38","12","1.74","Rustam Mamatov","no","active"
"EMP00054","HR","L2","Part-time","Nukus","29/03/2022","2023-12-23",,"0.06","3.24","17","30","1.62",,"no","Active"
"EMP00055","HR","Senior Analyst","Part-time","Tashkent","07/12/2023","2025-11-04","74,882.12","0.01","2.69","16","6","3.83","Sara Lee","yes","Resigned"
"EMP00056","sales ","L3","Part-time","Bukhara","20/12/2020","2023-05-28","$39,056.03","0.03","3.96","7","4","2.84","Nodira Usmanova","no","Resigned"
"EMP00057","Sales","Senior Analyst","Contract","Fergana","29/11/2020","2022-11-18","139,408.97","0.13","4.05","6","48","2.6","Nodira Usmanova","yes","Active"
"EMP00058","Human Resources","Senior Analyst","Contract",,"13/08/2021","2023-04-10","82,906.48","0.17","2.44","36","40","2.44","Nodira Usmanova","Yes","Resigned"
"EMP00059","Finance","Manager","Contract","Fergana","22/05/2024","2025-07-22","102,251.18","0.03","4.59","15","59","1.14","Timur Akramov","Yes","Resigned"
"EMP00060","Finance","L4","Contract","Tashkent","08/12/2023","2026-01-24","55,294.25","0.08","3.75","3","37","3.68","Nodira Usmanova","No","active"
"EMP00061","Customer Success","L2","Part-time","Fergana","16/09/2018","2019-05-25","90,307.18","0.06","2.3","25","65","2.1","Farida Karim","Yes","Active"
"EMP00062"," hr ","Senior Analyst","Intern","Tashkent","04/01/2022","2024-05-03","124,200.66","0.04","3.77","6","72","4.33","Aziz Khan","No","active"
"EMP00063","Human Resources","L1","Contract","Nukus","26/03/2024","2024-10-19"," 136,930.30 ","0.1","4.51","22","4","2.17","Aziz Khan","yes","On Leave"
"EMP00064","Finance","L3","Intern","Andijan","13/06/2019","2021-02-12","69,220.97","0.09","2.93","26","12","4.53","Rustam Mamatov","NO","active"
"EMP00065","Operations","Manager","Intern","Bukhara","29/11/2020","2023-07-20","137,554.06","0.04","2.06","20","9","1.62","Rustam Mamatov","yes","Resigned"
"EMP00066","Marketing","Manager","Part-time","Bukhara","07/10/2021","2022-04-17","$ 52,562.90","0.11","4.9","25","0","3.24","Farida Karim","yes","Resigned"
"EMP00067","Finance","Senior Analyst","Part-time","Bukhara","07/04/2023","2025-06-11","117,901.55","0.08","2.94","44","80","1.88","Sara Lee","Yes","active"
"EMP00068","Human Resources","Senior Analyst","Full-time","Fergana","24/01/2022","2025-02-24","107,689.73","0.02","2","40","2","1.84","Rustam Mamatov","Yes","On Leave"
"EMP00069","sales ","Manager","Contract","Bukhara","22/01/2018","2020-10-12","75,115.22","0.09","4.56","27","18","3.5","Rustam Mamatov","yes","Resigned"
"EMP00070","IT","Senior Analyst","Full-time","Andijan","30/04/2018","2019-04-23","$94,823.61","0.03","4.61","34","8","3.1","Nodira Usmanova","NO","Resigned"
"EMP00071","IT","Manager","Full-time","Fergana","07/10/2016","2018-07-20","53,052.60","0.04","3.01","36","18","2.87","Nodira Usmanova","yes","On Leave"
